hevy_template_id,title,type,primary_muscle_group
818BA121,Reverse Lunge (Barbell),weight_reps,quadriceps
FFDA283B,Reverse Lunge (Dumbbell),weight_reps,quadriceps
99B49684,Reverse Plank,duration,abdominals
51A0EDAA,Ring Dips,reps_only,chest
5F09F0FC,Ring Pull Up,reps_only,lats
AEA56BDC,Ring Push Up,reps_only,chest
2B4B7310,Romanian Deadlift (Barbell),weight_reps,hamstrings
72CFFAD5,Romanian Deadlift (Dumbbell),weight_reps,hamstrings
234897AB,Rope Cable Curl,weight_reps,biceps
9273BA17,Rope Straight Arm Pulldown,weight_reps,lats
0222DB42,Rowing Machine,distance_duration,cardio
AC1BB830,Running,distance_duration,cardio
BB83BDDE,Russian Twist (Bodyweight),reps_only,abdominals
2982AA23,Russian Twist (Weighted),weight_reps,abdominals
C7AE420A,Scapular Pull Ups,reps_only,upper_back
F1D60854,Seated Cable Row - Bar Grip,weight_reps,upper_back
C3BCABB3,Seated Cable Row - Bar Wide Grip,weight_reps,upper_back
0393F233,Seated Cable Row - V Grip (Cable),weight_reps,upper_back
062AB91A,Seated Calf Raise,weight_reps,calves
6B4C797E,Seated Chest Flys (Cable),weight_reps,chest
5122E7D9,Seated Dip Machine,weight_reps,triceps
8BAB2735,Seated Incline Curl (Dumbbell),weight_reps,biceps
9372FFAA,Seated Lateral Raise (Dumbbell),weight_reps,shoulders
11A123F3,Seated Leg Curl (Machine),weight_reps,hamstrings
91AF29E0,Seated Overhead Press (Barbell),weight_reps,shoulders
9930DF71,Seated Overhead Press (Dumbbell),weight_reps,shoulders
1006DF48,Seated Palms Up Wrist Curl,weight_reps,forearms
1DF4A847,Seated Row (Machine),weight_reps,upper_back
9237BAD1,Seated Shoulder Press (Machine),weight_reps,shoulders
234BC743,Seated Triceps Press,weight_reps,triceps
9202CC23,Seated Wrist Extension (Barbell),weight_reps,forearms
878CD1D0,Shoulder Press (Dumbbell),weight_reps,shoulders
059E835D,Shoulder Press (Machine Plates),weight_reps,shoulders
502FCE31,Shoulder Taps,reps_only,shoulders
0B841777,Shrug (Barbell),weight_reps,traps
FFABC123,Shrug (Cable),weight_reps,traps
ABEC557F,Shrug (Dumbbell),weight_reps,traps
19A38071,Shrug (Machine),weight_reps,traps
742E5BD5,Shrug (Smith Machine),weight_reps,traps
37F9EDA7,Side Bend,reps_only,abdominals
026FD047,Side Bend (Dumbbell),weight_reps,abdominals
725d326a-e2f1-43bd-aa77-3484aca79491,Side Delt Static STRETCH,duration,shoulders
E3EDA509,Side Plank,duration,abdominals
bb35664c-bdc8-4dcb-9956-d80e92d73896,Single Arm Bicep Curl,weight_reps,biceps
